"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7253","Checking the search function","Shop Page Actions","Sun Mar 30 13:39:15 UTC 2025","passed","Sun Mar 30 13:39:22 UTC 2025","","","",""
"","5251","Check that user navigate to a different domain page when clicking Shop","Home Page Actions","Sun Mar 30 13:38:25 UTC 2025","passed","Sun Mar 30 13:38:30 UTC 2025","","","",""
"","10192","Checking that the contact form is sent successfully when all required fields are filled in","ContactUs Page Actions","Sun Mar 30 13:37:40 UTC 2025","passed","Sun Mar 30 13:37:51 UTC 2025","","","",""
"","2045","Checking that Footer Links will redirect to the correct pages","Home Page Actions","Sun Mar 30 13:38:30 UTC 2025","passed","Sun Mar 30 13:38:32 UTC 2025","","","",""
"","6423","Check that Filter work correctly on solutions page","Solutions Page Actions","Sun Mar 30 13:39:25 UTC 2025","passed","Sun Mar 30 13:39:32 UTC 2025","","","",""
"","1390","Checking that user has the ability to add a product to the cart","Shop Page Actions","Sun Mar 30 13:39:22 UTC 2025","passed","Sun Mar 30 13:39:24 UTC 2025","","","",""
"","18737","Checking the opening of the main page","Home Page Actions","Sun Mar 30 13:38:03 UTC 2025","passed","Sun Mar 30 13:38:22 UTC 2025","","","",""
"","1218","Check that sing up form opened","Home Page Actions","Sun Mar 30 13:38:41 UTC 2025","passed","Sun Mar 30 13:38:42 UTC 2025","","","",""
"","6670","Check that drobdown of Why Telnyx in the main menu is full","Home Page Actions","Sun Mar 30 13:38:34 UTC 2025","passed","Sun Mar 30 13:38:40 UTC 2025","","","",""
"","2997","Check that selecting a menu option without a dropdown redirects the user to the new page","Pricing Page Actions","Sun Mar 30 13:38:50 UTC 2025","passed","Sun Mar 30 13:38:53 UTC 2025","","","",""
"","1110","Verify that clicking on a menu option with a dropdown correctly displays a list of available sub-options","Home Page Actions","Sun Mar 30 13:38:22 UTC 2025","passed","Sun Mar 30 13:38:23 UTC 2025","","","",""
"","2887","Check that user can't fill uncorrect mobile phone on Receive a call from Telnyx","Home Page Actions","Sun Mar 30 13:38:42 UTC 2025","passed","Sun Mar 30 13:38:45 UTC 2025","","","",""
"","9584","Checking that the contact form submission does not occur if there are no required fields","ContactUs Page Actions","Sun Mar 30 13:37:52 UTC 2025","passed","Sun Mar 30 13:38:02 UTC 2025","","","",""
"","18185","Check that Download pricing is performed successfully","Pricing Page Actions","Sun Mar 30 13:38:54 UTC 2025","passed","Sun Mar 30 13:39:12 UTC 2025","","","",""
"","3296","Check that in Ask our AI assistant only when user type something button Send is activated","Home Page Actions","Sun Mar 30 13:38:45 UTC 2025","passed","Sun Mar 30 13:38:49 UTC 2025","","","",""
